Sl No,Roll No,Name,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,Assignment 1,Assignment 2,Assignment 3,MidSem,EndSem,Quiz1,Quiz2,Assesment1,
46,1801cb30,Cherise Le Hucquet,53,16,18,59,-7,10,19,19,75.71,13.91,16.36,47.20,-8.24,16.67,42.22,76.00,11.36,2.09,3.27,4.72,-1.24,0.83,4.22,7.60,32.86
47,1801ee39,Julio Youhill,56,-10,18,22,63,38,15,19,80.00,-8.70,16.36,17.60,74.12,63.33,33.33,76.00,12.00,-1.30,3.27,1.76,11.12,3.17,3.33,7.60,40.95
48,1801cb09,Corette Spini,5,48,33,34,9,38,30,19,7.14,41.74,30.00,27.20,10.59,63.33,66.67,76.00,1.07,6.26,6.00,2.72,1.59,3.17,6.67,7.60,35.07
49,1801me18,Mata Vigar,54,22,3,5,53,28,10,21,77.14,19.13,2.73,4.00,62.35,46.67,22.22,84.00,11.57,2.87,0.55,0.40,9.35,2.33,2.22,8.40,37.69
50,1801ee19,Kendra Romanin,47,29,3,50,12,-8,16,24,67.14,25.22,2.73,40.00,14.12,-13.33,35.56,96.00,10.07,3.78,0.55,4.00,2.12,-0.67,3.56,9.60,33.01
51,1801cb28,Berty Kinrade,12,26,45,27,44,65,3,24,17.14,22.61,40.91,21.60,51.76,108.33,6.67,96.00,2.57,3.39,8.18,2.16,7.76,5.42,0.67,9.60,39.75
52,1801me61,Idaline Morse,45,37,17,36,14,13,43,24,64.29,32.17,15.45,28.80,16.47,21.67,95.56,96.00,9.64,4.83,3.09,2.88,2.47,1.08,9.56,9.60,43.15
53,1801ee44,Thelma Shepherdson,42,21,1,46,19,7,43,20,60.00,18.26,0.91,36.80,22.35,11.67,95.56,80.00,9.00,2.74,0.18,3.68,3.35,0.58,9.56,8.00,37.09
54,1801ee54,Noland Guterson,60,47,64,7,34,-9,9,23,85.71,40.87,58.18,5.60,40.00,-15.00,20.00,92.00,12.86,6.13,11.64,0.56,6.00,-0.75,2.00,9.20,47.63
55,1801ee31,Jany Marczyk,37,34,40,-7,40,5,9,21,52.86,29.57,36.36,-5.60,47.06,8.33,20.00,84.00,7.93,4.43,7.27,-0.56,7.06,0.42,2.00,8.40,36.95
56,1801cb17,Phillie Passey,53,65,62,34,5,-8,44,21,75.71,56.52,56.36,27.20,5.88,-13.33,97.78,84.00,11.36,8.48,11.27,2.72,0.88,-0.67,9.78,8.40,52.22
57,1801ce09,Gawen Purdy,36,-4,11,22,28,26,7,23,51.43,-3.48,10.00,17.60,32.94,43.33,15.56,92.00,7.71,-0.52,2.00,1.76,4.94,2.17,1.56,9.20,28.82
58,1801cb27,Richardo Calvey,16,47,25,62,55,57,10,19,22.86,40.87,22.73,49.60,64.71,95.00,22.22,76.00,3.43,6.13,4.55,4.96,9.71,4.75,2.22,7.60,43.34
59,1801me15,Hesther Ayerst,39,14,14,51,15,8,23,24,55.71,12.17,12.73,40.80,17.65,13.33,51.11,96.00,8.36,1.83,2.55,4.08,2.65,0.67,5.11,9.60,34.83
60,1801me19,Hazel Harbin,28,5,3,19,12,-3,5,22,40.00,4.35,2.73,15.20,14.12,-5.00,11.11,88.00,6.00,0.65,0.55,1.52,2.12,-0.25,1.11,8.80,20.50
61,1801ee02,Giselbert Hassell,-6,-2,54,36,65,54,14,24,-8.57,-1.74,49.09,28.80,76.47,90.00,31.11,96.00,-1.29,-0.26,9.82,2.88,11.47,4.50,3.11,9.60,39.83
62,1801me48,Byron Heliet,26,63,46,13,33,21,34,21,37.14,54.78,41.82,10.40,38.82,35.00,75.56,84.00,5.57,8.22,8.36,1.04,5.82,1.75,7.56,8.40,46.72
63,1801cb04,Mamie Theseira,62,54,12,-9,57,20,10,25,88.57,46.96,10.91,-7.20,67.06,33.33,22.22,100.00,13.29,7.04,2.18,-0.72,10.06,1.67,2.22,10.00,45.74
64,1801me30,Pauly Eddison,2,6,46,30,59,65,37,24,2.86,5.22,41.82,24.00,69.41,108.33,82.22,96.00,0.43,0.78,8.36,2.40,10.41,5.42,8.22,9.60,45.63
65,1801ee42,Scarlett Elgie,28,2,43,36,16,15,27,25,40.00,1.74,39.09,28.80,18.82,25.00,60.00,100.00,6.00,0.26,7.82,2.88,2.82,1.25,6.00,10.00,37.03
66,1801ce13,Meg Comusso,-1,4,20,13,45,42,36,23,-1.43,3.48,18.18,10.40,52.94,70.00,80.00,92.00,-0.21,0.52,3.64,1.04,7.94,3.50,8.00,9.20,33.62
67,1801me32,Camella Beller,-6,24,48,28,56,39,4,19,-8.57,20.87,43.64,22.40,65.88,65.00,8.89,76.00,-1.29,3.13,8.73,2.24,9.88,3.25,0.89,7.60,34.43
68,1801ee30,Clarinda Grandison,65,41,-6,-9,52,18,5,20,92.86,35.65,-5.45,-7.20,61.18,30.00,11.11,80.00,13.93,5.35,-1.09,-0.72,9.18,1.50,1.11,8.00,37.25
69,1801cb18,Thaddus Elleyne,25,36,-9,5,38,41,9,25,35.71,31.30,-8.18,4.00,44.71,68.33,20.00,100.00,5.36,4.70,-1.64,0.40,6.71,3.42,2.00,10.00,30.94
70,1801ee56,Harriett Moule,-5,-6,17,44,2,65,24,19,-7.14,-5.22,15.45,35.20,2.35,108.33,53.33,76.00,-1.07,-0.78,3.09,3.52,0.35,5.42,5.33,7.60,23.46
71,1801me45,Dominga Toleman,39,24,42,59,25,26,5,21,55.71,20.87,38.18,47.20,29.41,43.33,11.11,84.00,8.36,3.13,7.64,4.72,4.41,2.17,1.11,8.40,39.93
72,1801ce27,Neville Hughman,45,34,32,18,13,35,44,25,64.29,29.57,29.09,14.40,15.29,58.33,97.78,100.00,9.64,4.43,5.82,1.44,2.29,2.92,9.78,10.00,46.32
73,1801me43,Pall Chetter,24,50,-5,54,10,9,12,24,34.29,43.48,-4.55,43.20,11.76,15.00,26.67,96.00,5.14,6.52,-0.91,4.32,1.76,0.75,2.67,9.60,29.86
74,1801me58,Siffre Lathy,17,6,3,47,-1,19,30,23,24.29,5.22,2.73,37.60,-1.18,31.67,66.67,92.00,3.64,0.78,0.55,3.76,-0.18,1.58,6.67,9.20,26.00
75,1801me08,Temp Denson,61,6,8,42,64,41,32,24,87.14,5.22,7.27,33.60,75.29,68.33,71.11,96.00,13.07,0.78,1.45,3.36,11.29,3.42,7.11,9.60,50.09
76,1801ee04,Charlena Jelf,25,65,32,40,55,58,34,24,35.71,56.52,29.09,32.00,64.71,96.67,75.56,96.00,5.36,8.48,5.82,3.20,9.71,4.83,7.56,9.60,54.55
77,1801ce02,Wally Summerskill,5,-7,13,55,34,33,6,25,7.14,-6.09,11.82,44.00,40.00,55.00,13.33,100.00,1.07,-0.91,2.36,4.40,6.00,2.75,1.33,10.00,27.01
78,1801ee05,Hesther McCreery,40,-6,7,54,0,10,13,25,57.14,-5.22,6.36,43.20,0.00,16.67,28.89,100.00,8.57,-0.78,1.27,4.32,0.00,0.83,2.89,10.00,27.10
79,1801ee41,Sondra Gooda,40,41,-8,15,54,58,31,20,57.14,35.65,-7.27,12.00,63.53,96.67,68.89,80.00,8.57,5.35,-1.45,1.20,9.53,4.83,6.89,8.00,42.92
80,1801ce01,Norby Mitchard,31,54,31,17,54,60,8,22,44.29,46.96,28.18,13.60,63.53,100.00,17.78,88.00,6.64,7.04,5.64,1.36,9.53,5.00,1.78,8.80,45.79
81,1801ce00,Charleen Tedstone,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,1801ce99,Full Marks to Him,70,115,110,125,85,60,45,25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,15.00,15.00,20.00,10.00,15.00,5.00,10.00,10.00,100.00
